误差范围：1.6121102571487427
负 | 实际值：0.0 | 预测值（含误差范围）：1.6265889964997768
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6268687210977077
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6071512224152684
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6205704975873232
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5967227164655924
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6202018093317747
负 | 实际值：-4.0 | 预测值（含误差范围）：1.6230702055618167
负 | 实际值：4.0 | 预测值（含误差范围）：1.5852416977286339
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6314054355025291
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6061388226225972
负 | 实际值：-4.0 | 预测值（含误差范围）：1.628386514261365
负 | 实际值：4.0 | 预测值（含误差范围）：1.5838832054287195
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6342919375747442
负 | 实际值：3.0 | 预测值（含误差范围）：1.5974196773022413
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6340400166809559
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6179354349151254
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6278785094618797
负 | 实际值：0.0 | 预测值（含误差范围）：1.5916385184973478
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5974743869155645
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6217918284237385
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6076020747423172
负 | 实际值：-4.0 | 预测值（含误差范围）：1.6257414817810059
负 | 实际值：4.0 | 预测值（含误差范围）：1.5861638505011797
负 | 实际值：0.0 | 预测值（含误差范围）：1.6342684365808964
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6300484035164118
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5937860272824764
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6233177604153752
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6266513159498572
负 | 实际值：0.0 | 预测值（含误差范围）：1.6117475407663733
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6121871365467086
负 | 实际值：-1.0 | 预测值（含误差范围）：1.594986716285348
负 | 实际值：0.0 | 预测值（含误差范围）：1.5951321367174387
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6009143320843577
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6132956868968904
负 | 实际值：3.0 | 预测值（含误差范围）：1.605736117810011
负 | 实际值：-1.0 | 预测值（含误差范围）：1.629710266366601
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6178797790780663
负 | 实际值：4.0 | 预测值（含误差范围）：1.5972139528021216
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6333396341651678
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6272601690143347
负 | 实际值：0.0 | 预测值（含误差范围）：1.6093578557483852
负 | 实际值：0.0 | 预测值（含误差范围）：1.6094707236625254
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6104831658303738
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5953594278544188
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6065946980379522
负 | 实际值：0.0 | 预测值（含误差范围）：1.6017823684960604
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6057286099530756
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6231334805488586
负 | 实际值：0.0 | 预测值（含误差范围）：1.6231221156194806
负 | 实际值：0.0 | 预测值（含误差范围）：1.6223836336284876
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6236876398324966
负 | 实际值：4.0 | 预测值（含误差范围）：1.593196939677
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6315774880349636
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6014234321191907
负 | 实际值：4.0 | 预测值（含误差范围）：1.5935636963695288
负 | 实际值：0.0 | 预测值（含误差范围）：1.6341710612177849
负 | 实际值：0.0 | 预测值（含误差范围）：1.630384860560298
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6301355622708797
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6051157545298338
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6189541453495622
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6045376025140285
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6174914450384676
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5974817965179682
胜 | 实际值：1.0 | 预测值（含误差范围）：1.620422562584281
负 | 实际值：-4.0 | 预测值（含误差范围）：1.6226409412920475
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5854414012283087
负 | 实际值：3.0 | 预测值（含误差范围）：1.602344211190939
